::1 - - [21/Jul/2022:00:15:09 +0000] "GET /wp-json/wp/v2/users HTTP/1.0" 404 158 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36"
::ffff:127.0.0.1 - - [21/Jul/2022:01:59:14 +0000] "GET /api/v1/odkos HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:01:59:14 +0000] "GET /api/v1/deegiis HTTP/1.0" 200 15902 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [21/Jul/2022:01:59:14 +0000] "GET /api/v1/works?select=createdAt&sort=-createdAt&limit=1 HTTP/1.0" 200 237 "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:01:59:15 +0000] "GET /api/v1/headerBanners?limit=10 HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:01:59:15 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 200 12003 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [21/Jul/2022:01:59:15 +0000] "GET /api/v1/magazines?limit=50 HTTP/1.0" 200 194113 "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:01:59:57 +0000] "GET /api/v1/users/626abb7dc36872e4d55eb6cc HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [21/Jul/2022:01:59:57 +0000] "GET /api/v1/magazines/6242b7d91aaad439817a4c70 HTTP/1.0" 200 194033 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [21/Jul/2022:02:14:32 +0000] "GET /owa/auth/logon.aspx?url=https%3a%2f%2f1%2fecp%2f HTTP/1.0" 404 158 "-" "Mozilla/5.0 zgrab/0.x"
::1 - - [21/Jul/2022:02:55:30 +0000] "GET /.environments HTTP/1.0" 404 152 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::ffff:127.0.0.1 - - [21/Jul/2022:05:39:48 +0000] "GET /api/v1/users/62bf9dec7c03ca10611c5860 HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::1 - - [21/Jul/2022:05:39:49 +0000] "GET /api/v1/bolors HTTP/1.0" 200 19139 "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::ffff:127.0.0.1 - - [21/Jul/2022:05:39:49 +0000] "GET /api/v1/odkos HTTP/1.0" 200 10199 "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::1 - - [21/Jul/2022:05:39:49 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 200 19072 "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::ffff:127.0.0.1 - - [21/Jul/2022:05:39:49 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::1 - - [21/Jul/2022:05:39:49 +0000] "GET /api/v1/tops HTTP/1.0" 200 4811 "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::ffff:127.0.0.1 - - [21/Jul/2022:05:39:49 +0000] "GET /api/v1/technos HTTP/1.0" 200 16321 "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::1 - - [21/Jul/2022:05:39:49 +0000] "GET /api/v1/coins HTTP/1.0" 200 12866 "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::ffff:127.0.0.1 - - [21/Jul/2022:05:39:49 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::1 - - [21/Jul/2022:05:39:49 +0000] "GET /api/v1/baykas HTTP/1.0" 200 28804 "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::ffff:127.0.0.1 - - [21/Jul/2022:05:39:49 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 200 19072 "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::1 - - [21/Jul/2022:05:39:50 +0000] "GET /api/v1/bolors HTTP/1.0" 200 19139 "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::ffff:127.0.0.1 - - [21/Jul/2022:05:39:50 +0000] "GET /api/v1/bataas HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::1 - - [21/Jul/2022:05:39:50 +0000] "GET /api/v1/deegiis HTTP/1.0" 200 15902 "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::ffff:127.0.0.1 - - [21/Jul/2022:05:39:50 +0000] "GET /api/v1/odkos HTTP/1.0" 200 10199 "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::1 - - [21/Jul/2022:05:39:50 +0000] "GET /api/v1/works?select=createdAt&sort=-createdAt&limit=1 HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::ffff:127.0.0.1 - - [21/Jul/2022:05:39:50 +0000] "GET /api/v1/headerBanners?limit=10 HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::ffff:127.0.0.1 - - [21/Jul/2022:05:39:50 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::1 - - [21/Jul/2022:05:39:50 +0000] "GET /api/v1/magazines?limit=50 HTTP/1.0" 200 194113 "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::1 - - [21/Jul/2022:05:40:01 +0000] "GET /api/v1/magazines/6242b7d91aaad439817a4c70 HTTP/1.0" 200 194033 "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::ffff:127.0.0.1 - - [21/Jul/2022:05:40:01 +0000] "GET /api/v1/users/62bf9dec7c03ca10611c5860 HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::ffff:127.0.0.1 - - [21/Jul/2022:05:41:03 +0000] "GET /api/v1/users/62bf9dec7c03ca10611c5860 HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::1 - - [21/Jul/2022:05:41:36 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::ffff:127.0.0.1 - - [21/Jul/2022:05:41:36 +0000] "GET /api/v1/users/62bf9dec7c03ca10611c5860 HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::1 - - [21/Jul/2022:05:41:37 +0000] "GET /upload/work__627e27d7c36872e4d55f0d7d.png HTTP/1.0" 404 180 "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::ffff:127.0.0.1 - - [21/Jul/2022:05:41:37 +0000] "GET /upload/work__627e2b6fc36872e4d55f0dfe.png HTTP/1.0" 404 180 "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::1 - - [21/Jul/2022:05:41:37 +0000] "GET /upload/work__627e2a3bc36872e4d55f0dcc.png HTTP/1.0" 404 180 "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::ffff:127.0.0.1 - - [21/Jul/2022:05:41:37 +0000] "GET /upload/work__627e2c22c36872e4d55f0e04.jpg HTTP/1.0" 404 180 "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::ffff:127.0.0.1 - - [21/Jul/2022:05:41:37 +0000] "GET /upload/work__627e1d1ac36872e4d55f0cee.png HTTP/1.0" 404 180 "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::1 - - [21/Jul/2022:05:41:37 +0000] "GET /upload/work__627e242cc36872e4d55f0d4c.jpg HTTP/1.0" 404 180 "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::ffff:127.0.0.1 - - [21/Jul/2022:05:41:37 +0000] "GET /upload/work__627e2adec36872e4d55f0dd2.jpg HTTP/1.0" 404 180 "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::ffff:127.0.0.1 - - [21/Jul/2022:05:41:37 +0000] "GET /upload/work__627e1ee4c36872e4d55f0d03.jpg HTTP/1.0" 404 180 "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::1 - - [21/Jul/2022:05:41:37 +0000] "GET /upload/work__62738134c36872e4d55eec4e.jpg HTTP/1.0" 404 180 "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::1 - - [21/Jul/2022:05:41:37 +0000] "GET /upload/work__627e2255c36872e4d55f0d43.png HTTP/1.0" 404 180 "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::ffff:127.0.0.1 - - [21/Jul/2022:05:41:37 +0000] "GET /upload/work__627e28a7c36872e4d55f0d83.jpg HTTP/1.0" 404 180 "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::ffff:127.0.0.1 - - [21/Jul/2022:05:41:37 +0000] "GET /upload/work__627e214dc36872e4d55f0d15.jpg HTTP/1.0" 404 180 "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::1 - - [21/Jul/2022:05:41:37 +0000] "GET /upload/work__627e1fb1c36872e4d55f0d0c.jpg HTTP/1.0" 404 180 "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::ffff:127.0.0.1 - - [21/Jul/2022:05:42:03 +0000] "POST /ajax HTTP/1.0" 404 144 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)"
::1 - - [21/Jul/2022:05:45:10 +0000] "GET /api/v1/users/62bf9dec7c03ca10611c5860 HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/978.0.7 Darwin/18.7.0"
::ffff:127.0.0.1 - - [21/Jul/2022:08:39:50 +0000] "GET /robots.txt HTTP/1.0" 404 149 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
::ffff:127.0.0.1 - - [21/Jul/2022:09:16:31 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "http://novelistgroup.com/favicon.ico" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
::ffff:127.0.0.1 - - [21/Jul/2022:09:26:51 +0000] "GET /robots.txt HTTP/1.0" 404 149 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
::1 - - [21/Jul/2022:09:41:12 +0000] "GET /robots.txt HTTP/1.0" 404 149 "http://novelistgroup.com/robots.txt" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
::ffff:127.0.0.1 - - [21/Jul/2022:09:41:13 +0000] "GET /humans.txt HTTP/1.0" 404 149 "http://novelistgroup.com/humans.txt" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
::1 - - [21/Jul/2022:09:41:15 +0000] "GET /ads.txt HTTP/1.0" 404 146 "http://novelistgroup.com/ads.txt" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
::1 - - [21/Jul/2022:10:05:46 +0000] "GET /api/v1/users/undefined HTTP/1.0" 500 250 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [21/Jul/2022:10:05:47 +0000] "GET /api/v1/odkos HTTP/1.0" 200 10199 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [21/Jul/2022:10:05:47 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:10:05:47 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 200 19072 "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:10:05:47 +0000] "GET /api/v1/bolors HTTP/1.0" 200 19139 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [21/Jul/2022:10:05:47 +0000] "GET /api/v1/tops HTTP/1.0" 200 4811 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [21/Jul/2022:10:05:47 +0000] "GET /api/v1/coins HTTP/1.0" 200 12866 "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:10:05:47 +0000] "GET /api/v1/technos HTTP/1.0" 200 16321 "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:10:05:47 +0000] "GET /api/v1/binances HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [21/Jul/2022:10:05:47 +0000] "GET /api/v1/baykas HTTP/1.0" 200 28804 "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:10:05:47 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [21/Jul/2022:10:05:47 +0000] "GET /api/v1/bolors HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:10:05:47 +0000] "GET /api/v1/odkos HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [21/Jul/2022:10:05:47 +0000] "GET /api/v1/works?select=createdAt&sort=-createdAt&limit=1 HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:10:05:47 +0000] "GET /api/v1/bataas HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [21/Jul/2022:10:05:47 +0000] "GET /api/v1/deegiis HTTP/1.0" 200 15902 "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:10:05:48 +0000] "GET /api/v1/headerBanners?limit=10 HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:10:05:48 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [21/Jul/2022:10:05:48 +0000] "GET /api/v1/magazines?limit=50 HTTP/1.0" 200 194113 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [21/Jul/2022:10:12:56 +0000] "GET /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.0" 404 189 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::1 - - [21/Jul/2022:11:02:45 +0000] "GET /sssss HTTP/1.0" 404 144 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.106 Safari/537.36"
::1 - - [21/Jul/2022:11:06:22 +0000] "GET /api/v1/users/undefined HTTP/1.0" 500 250 "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:11:06:22 +0000] "GET /api/v1/odkos HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [21/Jul/2022:11:06:23 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [21/Jul/2022:11:06:23 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 200 19072 "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:11:06:23 +0000] "GET /api/v1/bolors HTTP/1.0" 200 19139 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [21/Jul/2022:11:06:23 +0000] "GET /api/v1/tops HTTP/1.0" 200 4811 "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:11:06:23 +0000] "GET /api/v1/technos HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [21/Jul/2022:11:06:24 +0000] "GET /api/v1/coins HTTP/1.0" 200 12866 "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:11:06:24 +0000] "GET /api/v1/binances HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [21/Jul/2022:11:06:24 +0000] "GET /api/v1/baykas HTTP/1.0" 200 28804 "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:11:06:24 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [21/Jul/2022:11:06:24 +0000] "GET /api/v1/bolors HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:11:06:24 +0000] "GET /api/v1/bataas HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [21/Jul/2022:11:06:24 +0000] "GET /api/v1/deegiis HTTP/1.0" 200 15902 "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:11:06:25 +0000] "GET /api/v1/odkos HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [21/Jul/2022:11:06:25 +0000] "GET /api/v1/works?select=createdAt&sort=-createdAt&limit=1 HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:11:06:25 +0000] "GET /api/v1/headerBanners?limit=10 HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [21/Jul/2022:11:06:25 +0000] "GET /api/v1/magazines?limit=50 HTTP/1.0" 200 194113 "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:11:06:25 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:11:56:50 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:127.0.0.1 - admin [21/Jul/2022:12:27:51 +0000] "POST /mgmt/tm/util/bash HTTP/1.0" 404 157 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36"
::ffff:127.0.0.1 - - [21/Jul/2022:13:12:50 +0000] "GET /robots.txt HTTP/1.0" 404 149 "-" "serpstatbot/2.1 (advanced backlink tracking bot; https://serpstatbot.com/; abuse@serpstatbot.com)"
::1 - - [21/Jul/2022:13:43:02 +0000] "GET /api/v1/users/undefined HTTP/1.0" 500 250 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [21/Jul/2022:13:43:02 +0000] "GET /api/v1/technos HTTP/1.0" 200 16321 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [21/Jul/2022:13:43:02 +0000] "GET /api/v1/odkos HTTP/1.0" 200 10199 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [21/Jul/2022:13:43:02 +0000] "GET /api/v1/tops HTTP/1.0" 200 4811 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [21/Jul/2022:13:43:02 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [21/Jul/2022:13:43:02 +0000] "GET /api/v1/bolors HTTP/1.0" 200 19139 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [21/Jul/2022:13:43:02 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 200 19072 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [21/Jul/2022:13:43:02 +0000] "GET /api/v1/coins HTTP/1.0" 200 12866 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [21/Jul/2022:13:43:03 +0000] "GET /api/v1/baykas HTTP/1.0" 200 28804 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [21/Jul/2022:13:43:03 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [21/Jul/2022:13:43:03 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 200 19072 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [21/Jul/2022:13:43:03 +0000] "GET /api/v1/deegiis HTTP/1.0" 200 15902 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [21/Jul/2022:13:43:03 +0000] "GET /api/v1/bataas HTTP/1.0" 200 17214 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [21/Jul/2022:13:43:03 +0000] "GET /api/v1/bolors HTTP/1.0" 200 19139 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [21/Jul/2022:13:43:03 +0000] "GET /api/v1/odkos HTTP/1.0" 200 10199 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [21/Jul/2022:13:43:03 +0000] "GET /api/v1/works?select=createdAt&sort=-createdAt&limit=1 HTTP/1.0" 200 237 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [21/Jul/2022:13:43:03 +0000] "GET /api/v1/headerBanners?limit=10 HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [21/Jul/2022:13:43:03 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 200 12003 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [21/Jul/2022:13:43:03 +0000] "GET /api/v1/magazines?limit=50 HTTP/1.0" 200 194113 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [21/Jul/2022:14:23:33 +0000] "GET /api/v1/users/undefined HTTP/1.0" 500 250 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [21/Jul/2022:14:23:33 +0000] "GET /api/v1/odkos HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:14:23:33 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [21/Jul/2022:14:23:33 +0000] "GET /api/v1/bolors HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:14:23:33 +0000] "GET /api/v1/binances HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:14:23:33 +0000] "GET /api/v1/tops HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:14:23:33 +0000] "GET /api/v1/coins HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [21/Jul/2022:14:23:33 +0000] "GET /api/v1/binances HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [21/Jul/2022:14:23:33 +0000] "GET /api/v1/technos HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [21/Jul/2022:14:23:33 +0000] "GET /api/v1/baykas HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:14:23:33 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [21/Jul/2022:14:23:34 +0000] "GET /api/v1/bolors HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [21/Jul/2022:14:23:34 +0000] "GET /api/v1/odkos HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:14:23:34 +0000] "GET /api/v1/works?select=createdAt&sort=-createdAt&limit=1 HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:14:23:34 +0000] "GET /api/v1/bataas HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:14:23:34 +0000] "GET /api/v1/deegiis HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [21/Jul/2022:14:23:34 +0000] "GET /api/v1/headerBanners?limit=10 HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [21/Jul/2022:14:23:34 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:14:23:34 +0000] "GET /api/v1/magazines?limit=50 HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [21/Jul/2022:14:23:36 +0000] "GET /api/v1/users/undefined HTTP/1.0" 500 250 "-" "okhttp/3.14.9"
