::ffff:127.0.0.1 - - [23/Sep/2022:01:44:48 +0000] "GET /upload/photo_626a74fcc36872e4d55eb274.jpeg HTTP/1.0" 404 181 "-" "LinkedInBot/1.0 (compatible; Mozilla/5.0; Apache-HttpClient +http://www.linkedin.com)"
::ffff:127.0.0.1 - - [23/Sep/2022:07:21:47 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::1 - - [23/Sep/2022:07:21:49 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::ffff:127.0.0.1 - - [23/Sep/2022:07:21:51 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::1 - - [23/Sep/2022:08:38:07 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:101.0) Gecko/20100101 Firefox/101.0"
::ffff:127.0.0.1 - - [23/Sep/2022:09:16:06 +0000] "GET /api/v1/users/undefined HTTP/1.0" 500 250 "-" "Career%20developer/1.1.1 CFNetwork/1335.0.3 Darwin/21.6.0"
::1 - - [23/Sep/2022:09:16:06 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 200 11727 "-" "Career%20developer/1.1.1 CFNetwork/1335.0.3 Darwin/21.6.0"
::ffff:127.0.0.1 - - [23/Sep/2022:09:16:06 +0000] "GET /api/v1/works?select=createdAt&sort=-createdAt&limit=1 HTTP/1.0" 200 237 "-" "Career%20developer/1.1.1 CFNetwork/1335.0.3 Darwin/21.6.0"
::ffff:127.0.0.1 - - [23/Sep/2022:09:16:06 +0000] "GET /api/v1/headerBanners?limit=10 HTTP/1.0" 304 - "-" "Career%20developer/1.1.1 CFNetwork/1335.0.3 Darwin/21.6.0"
::1 - - [23/Sep/2022:09:16:06 +0000] "GET /api/v1/magazines?limit=50 HTTP/1.0" 200 194113 "-" "Career%20developer/1.1.1 CFNetwork/1335.0.3 Darwin/21.6.0"
::1 - - [23/Sep/2022:09:16:59 +0000] "GET /api/v1/users/undefined HTTP/1.0" 500 250 "-" "Career%20developer/1.1.1 CFNetwork/1335.0.3 Darwin/21.6.0"
::1 - - [23/Sep/2022:09:28:17 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
::1 - - [23/Sep/2022:09:28:27 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "http://novelistgroup.com/favicon.ico" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
::ffff:127.0.0.1 - - [23/Sep/2022:10:10:01 +0000] "GET /api/v1/users/undefined HTTP/1.0" 500 250 "-" "Career%20developer/1.1.1 CFNetwork/1335.0.3 Darwin/21.6.0"
::1 - - [23/Sep/2022:10:10:01 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 304 - "-" "Career%20developer/1.1.1 CFNetwork/1335.0.3 Darwin/21.6.0"
::ffff:127.0.0.1 - - [23/Sep/2022:10:10:01 +0000] "GET /api/v1/works?select=createdAt&sort=-createdAt&limit=1 HTTP/1.0" 304 - "-" "Career%20developer/1.1.1 CFNetwork/1335.0.3 Darwin/21.6.0"
::ffff:127.0.0.1 - - [23/Sep/2022:10:10:01 +0000] "GET /api/v1/headerBanners?limit=10 HTTP/1.0" 304 - "-" "Career%20developer/1.1.1 CFNetwork/1335.0.3 Darwin/21.6.0"
::1 - - [23/Sep/2022:10:10:01 +0000] "GET /api/v1/magazines?limit=50 HTTP/1.0" 200 194113 "-" "Career%20developer/1.1.1 CFNetwork/1335.0.3 Darwin/21.6.0"
::1 - - [23/Sep/2022:10:17:35 +0000] "GET /remote/fgt_lang?lang=/../../../..//////////dev/cmdb/sslvpn_websession HTTP/1.0" 404 154 "-" "Python-urllib/3.8"
::1 - - [23/Sep/2022:10:28:48 +0000] "GET /api/v1/users/6327eda7942f4533f11fcc07 HTTP/1.0" 304 - "-" "Career%20developer/1.1.1 CFNetwork/1335.0.3 Darwin/21.6.0"
::1 - - [23/Sep/2022:10:28:48 +0000] "GET /api/v1/works?select=createdAt&sort=-createdAt&limit=1 HTTP/1.0" 304 - "-" "Career%20developer/1.1.1 CFNetwork/1335.0.3 Darwin/21.6.0"
::ffff:127.0.0.1 - - [23/Sep/2022:10:28:48 +0000] "GET /api/v1/headerBanners?limit=10 HTTP/1.0" 304 - "-" "Career%20developer/1.1.1 CFNetwork/1335.0.3 Darwin/21.6.0"
::1 - - [23/Sep/2022:10:28:48 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 304 - "-" "Career%20developer/1.1.1 CFNetwork/1335.0.3 Darwin/21.6.0"
::ffff:127.0.0.1 - - [23/Sep/2022:10:28:49 +0000] "GET /api/v1/magazines?limit=50 HTTP/1.0" 200 194113 "-" "Career%20developer/1.1.1 CFNetwork/1335.0.3 Darwin/21.6.0"
::1 - - [23/Sep/2022:10:29:08 +0000] "GET /api/v1/users/6327eda7942f4533f11fcc07 HTTP/1.0" 304 - "-" "Career%20developer/1.1.1 CFNetwork/1335.0.3 Darwin/21.6.0"
::ffff:127.0.0.1 - - [23/Sep/2022:10:29:16 +0000] "GET /api/v1/users/6327eda7942f4533f11fcc07 HTTP/1.0" 304 - "-" "Career%20developer/1.1.1 CFNetwork/1335.0.3 Darwin/21.6.0"
::ffff:127.0.0.1 - - [23/Sep/2022:11:31:22 +0000] "GET /api/v1/users/undefined HTTP/1.0" 500 250 "-" "Career%20developer/1.1.1 CFNetwork/1335.0.3 Darwin/21.6.0"
::ffff:127.0.0.1 - - [23/Sep/2022:11:31:22 +0000] "GET /api/v1/works?select=createdAt&sort=-createdAt&limit=1 HTTP/1.0" 200 237 "-" "Career%20developer/1.1.1 CFNetwork/1335.0.3 Darwin/21.6.0"
::1 - - [23/Sep/2022:11:31:22 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 200 11727 "-" "Career%20developer/1.1.1 CFNetwork/1335.0.3 Darwin/21.6.0"
::ffff:127.0.0.1 - - [23/Sep/2022:11:31:22 +0000] "GET /api/v1/headerBanners?limit=10 HTTP/1.0" 200 766 "-" "Career%20developer/1.1.1 CFNetwork/1335.0.3 Darwin/21.6.0"
::1 - - [23/Sep/2022:11:31:22 +0000] "GET /api/v1/magazines?limit=50 HTTP/1.0" 200 194113 "-" "Career%20developer/1.1.1 CFNetwork/1335.0.3 Darwin/21.6.0"
::ffff:127.0.0.1 - - [23/Sep/2022:11:31:28 +0000] "GET /api/v1/users/undefined HTTP/1.0" 500 250 "-" "Career%20developer/1.1.1 CFNetwork/1335.0.3 Darwin/21.6.0"
::1 - - [23/Sep/2022:11:31:29 +0000] "GET /api/v1/magazines/6242b7d91aaad439817a4c70 HTTP/1.0" 200 194033 "-" "Career%20developer/1.1.1 CFNetwork/1335.0.3 Darwin/21.6.0"
::1 - - [23/Sep/2022:11:31:42 +0000] "GET /api/v1/users/undefined HTTP/1.0" 500 250 "-" "Career%20developer/1.1.1 CFNetwork/1335.0.3 Darwin/21.6.0"
::1 - - [23/Sep/2022:12:12:20 +0000] "GET /actuator/gateway/routes HTTP/1.0" 404 162 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::ffff:127.0.0.1 - - [23/Sep/2022:12:12:48 +0000] "GET /api/v1/users/6329941f942f4533f11fccf5 HTTP/1.0" 304 - "-" "Career%20developer/1.1.1 CFNetwork/1325.0.1 Darwin/21.1.0"
::ffff:127.0.0.1 - - [23/Sep/2022:12:12:48 +0000] "GET /api/v1/works?select=createdAt&sort=-createdAt&limit=1 HTTP/1.0" 304 - "-" "Career%20developer/1.1.1 CFNetwork/1325.0.1 Darwin/21.1.0"
::1 - - [23/Sep/2022:12:12:48 +0000] "GET /api/v1/headerBanners?limit=10 HTTP/1.0" 304 - "-" "Career%20developer/1.1.1 CFNetwork/1325.0.1 Darwin/21.1.0"
::ffff:127.0.0.1 - - [23/Sep/2022:12:12:48 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 304 - "-" "Career%20developer/1.1.1 CFNetwork/1325.0.1 Darwin/21.1.0"
::1 - - [23/Sep/2022:12:12:49 +0000] "GET /api/v1/magazines?limit=50 HTTP/1.0" 200 194113 "-" "Career%20developer/1.1.1 CFNetwork/1325.0.1 Darwin/21.1.0"
::ffff:127.0.0.1 - - [23/Sep/2022:13:22:29 +0000] "GET /version HTTP/1.0" 404 146 "-" "Mozilla/5.0 zgrab/0.x"
::1 - - [23/Sep/2022:14:39:26 +0000] "GET /.git/config HTTP/1.0" 404 150 "-" "Go-http-client/1.1"
::ffff:127.0.0.1 - - [23/Sep/2022:14:39:26 +0000] "GET /info.php HTTP/1.0" 404 147 "-" "Go-http-client/1.1"
::ffff:127.0.0.1 - - [23/Sep/2022:14:39:26 +0000] "GET /.env HTTP/1.0" 404 143 "-" "Go-http-client/1.1"
::ffff:127.0.0.1 - - [23/Sep/2022:14:39:26 +0000] "GET /s/3137342e3133382e31392e313631/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties HTTP/1.0" 404 239 "-" "Go-http-client/1.1"
::1 - - [23/Sep/2022:14:39:26 +0000] "GET /server-status HTTP/1.0" 404 152 "-" "Go-http-client/1.1"
::ffff:127.0.0.1 - - [23/Sep/2022:14:39:26 +0000] "GET /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application HTTP/1.0" 404 214 "-" "Go-http-client/1.1"
::ffff:127.0.0.1 - - [23/Sep/2022:14:39:27 +0000] "GET /api/search?folderIds=0 HTTP/1.0" 404 149 "-" "Go-http-client/1.1"
::1 - - [23/Sep/2022:14:39:27 +0000] "GET /login.action HTTP/1.0" 404 151 "-" "Go-http-client/1.1"
::ffff:127.0.0.1 - - [23/Sep/2022:14:39:27 +0000] "GET /about HTTP/1.0" 404 144 "-" "Go-http-client/1.1"
::1 - - [23/Sep/2022:14:39:27 +0000] "GET /v2/_catalog HTTP/1.0" 404 150 "-" "Go-http-client/1.1"
::ffff:127.0.0.1 - - [23/Sep/2022:14:58:17 +0000] "GET /.env HTTP/1.0" 404 143 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::1 - - [23/Sep/2022:14:58:18 +0000] "POST / HTTP/1.0" 404 140 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::1 - - [23/Sep/2022:15:30:26 +0000] "GET /explore HTTP/1.0" 404 146 "-" "Gregarius/0.5.2 ( http://devlog.gregarius.net/docs/ua)"
::1 - - [23/Sep/2022:15:41:21 +0000] "GET /aaa9 HTTP/1.0" 404 143 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
::ffff:127.0.0.1 - - [23/Sep/2022:15:41:22 +0000] "GET /aab9 HTTP/1.0" 404 143 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
::1 - - [23/Sep/2022:15:41:38 +0000] "GET /aaa9 HTTP/1.0" 404 143 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
::ffff:127.0.0.1 - - [23/Sep/2022:15:41:39 +0000] "GET /aab9 HTTP/1.0" 404 143 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
::1 - - [23/Sep/2022:16:08:57 +0000] "POST /api/v1/profiles HTTP/1.0" 404 155 "-" "PostmanRuntime/7.29.2"
::ffff:127.0.0.1 - - [23/Sep/2022:16:09:06 +0000] "POST /api/v1/profiles HTTP/1.0" 404 155 "-" "PostmanRuntime/7.29.2"
::1 - - [23/Sep/2022:16:09:36 +0000] "POST /api/v1/profiles HTTP/1.0" 404 155 "-" "PostmanRuntime/7.29.2"
::ffff:127.0.0.1 - - [23/Sep/2022:16:09:51 +0000] "POST /api/v1/profiles HTTP/1.0" 404 155 "-" "PostmanRuntime/7.29.2"
::1 - - [23/Sep/2022:18:44:35 +0000] "GET /robots.txt HTTP/1.0" 404 149 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36"
::1 - - [23/Sep/2022:18:46:23 +0000] "GET /remote/fgt_lang?lang=/../../../..//////////dev/cmdb/sslvpn_websession HTTP/1.0" 404 154 "-" "Python-urllib/3.8"
::1 - - [23/Sep/2022:21:10:15 +0000] "GET /robots.txt HTTP/1.0" 404 149 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36"
::1 - - [23/Sep/2022:21:10:41 +0000] "GET /robots.txt HTTP/1.0" 404 149 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
::1 - - [23/Sep/2022:21:17:53 +0000] "GET /wp-login.php HTTP/1.0" 404 151 "http://novelistgroup.com/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:96.0) Gecko/20100101 Firefox/96"
::1 - - [23/Sep/2022:21:33:13 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "https://174.138.19.161/" "Mozilla/5.0 (X11; Linux x86_64; rv:73.0) Gecko/20100101 Firefox/73.0"
::ffff:127.0.0.1 - - [23/Sep/2022:21:39:34 +0000] "GET /installer.php HTTP/1.0" 404 152 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36"
::1 - - [23/Sep/2022:22:15:39 +0000] "GET /owa/auth/logon.aspx HTTP/1.0" 404 158 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:127.0.0.1 - - [23/Sep/2022:22:20:37 +0000] "GET /owa/auth/x.js HTTP/1.0" 404 152 "-" "Mozilla/5.0 zgrab/0.x"
